Time_hr,Choke_pct,Target_Q,Actual_Q,WHP_psi,FLP_psi,BHP_psi,Feasible_Candidates
1,35.0,100.0,94.66061244951827,268.621922217976,187.87571797535716,3129.0614945179727,11
2,34.0,100.0,96.4365285914963,267.8697822529135,186.41396179338324,3133.2260560922136,11
3,34.0,100.0,97.7012734723949,269.587279904083,186.1702338798366,3125.8187678807903,11
4,33.0,100.0,97.48783337813525,268.0533955988402,186.26793690901798,3123.5765447410113,11
5,33.0,100.0,98.06364369159878,267.8561504480777,188.00379825504788,3131.578562485125,11
6,33.0,100.0,97.57419730559288,267.089944180741,184.7070145899339,3123.454048828131,11
7,33.0,100.0,98.72668185112218,268.7610885037541,185.20276165781814,3122.672722566222,11
8,33.0,100.0,96.93436348974971,267.020011457131,184.86098727857672,3122.5629671928427,11
9,34.0,100.0,98.40338964892821,266.8576838507027,184.0974319658866,3118.538632206539,11
10,33.0,100.0,100.87194986101149,265.38926165344543,184.60226927824945,3128.2739548996046,11
11,33.0,100.0,101.54473768681947,265.498298553946,185.16551704295645,3123.6433310825923,11
12,33.0,100.0,100.64632395848167,265.6953960806464,185.2478619286796,3124.83232972186,11
13,33.0,100.0,99.64612367972568,266.4081342285926,185.32389993996898,3118.2787348830843,11
14,33.0,100.0,99.13638235246795,266.5233975320388,185.60594765032494,3120.658109992925,11
15,33.0,100.0,99.72757648440599,268.0448460168651,185.53575665098788,3123.314410424548,11
16,33.0,100.0,99.41204815453992,266.81865551356236,184.826963118739,3123.155447053503,11
17,33.0,100.0,99.30739638815105,269.3213233251332,186.65699562326608,3123.319966337497,11
18,33.0,100.0,98.78763543780833,265.46723208530335,186.346397317262,3122.9150287925218,11
19,33.0,100.0,99.79272115314404,264.70256774179245,186.1314802967832,3123.460858013292,11
20,33.0,100.0,98.52887920818051,266.22528380348905,185.59726646944904,3122.231103458456,11
21,33.0,100.0,99.19054207628636,266.66286891279515,185.18206073113413,3122.511827900084,11
22,33.0,100.0,100.60724896920303,263.7037416917746,185.19199272643132,3122.5676610441096,11
23,33.0,100.0,99.67157987094458,266.33471366989403,183.9743191154941,3123.008996961431,11
24,33.0,100.0,100.82053686436838,264.9381499989628,186.06930456194044,3121.0286986037404,11
25,33.0,100.0,99.39276735318285,265.51348176349666,185.10948645887186,3125.9056179696545,11
26,38.0,150.0,101.39533355579516,267.9729256756911,185.58764901698052,3118.9306593976416,11
27,43.0,150.0,105.24447770306921,263.77639290801534,183.8966809106813,3103.8421155991246,11
28,48.0,150.0,108.06872728395639,258.44316631927234,181.96293135105165,3082.9552438313403,11
29,53.0,150.0,113.77517028058226,254.66055272956626,179.46100553178348,3069.5586151422885,11
30,58.0,150.0,120.3927725208564,250.87178569188086,174.22001368461164,3045.1702083389337,11
31,63.0,150.0,124.19081351268812,243.96751055018547,173.36790636867835,3021.136338068615,11
32,68.0,150.0,130.83862898101532,237.6079227958963,168.58854078603443,2985.807246854198,11
33,68.0,150.0,135.99377407045478,234.47876085477756,166.54191074643492,2966.912209496604,11
34,66.0,150.0,138.43831858738417,231.13583410097525,163.6246919900716,2949.7492573352006,11
35,65.0,150.0,144.39187344286992,225.83115134963217,161.59199233575453,2938.356851882051,11
36,63.0,150.0,143.64584846223423,228.60410101573427,161.47216096344192,2932.6962794217407,11
37,63.0,150.0,145.93808789318436,226.60260794988633,161.3057117368797,2925.592683274497,11
38,62.0,150.0,147.52533678776007,225.24008596643017,159.33193523193336,2921.8320609621837,11
39,61.0,150.0,147.70477619393083,225.074125841324,160.63649943832587,2918.6351635728793,11
40,61.0,150.0,148.12712844158906,226.14485357500033,159.08950895097806,2918.964232888139,11
41,61.0,150.0,148.71675247284227,225.17818662744773,159.56886001910513,2925.1069198765663,11
42,61.0,150.0,149.50869960191105,225.009575433139,159.9009491058087,2927.8484173075694,11
43,61.0,150.0,148.87884710871415,221.45963760698484,160.65749705613044,2919.2839271577136,11
44,61.0,150.0,149.30916582248423,225.32436506028588,158.02387087828683,2916.731433664769,11
45,61.0,150.0,148.0891165047293,222.70909422862294,159.60137428580472,2921.9192223150285,11
46,61.0,150.0,149.71173872419655,221.8923599238988,157.3557222683432,2920.3953293307163,11
47,60.0,150.0,148.9194352835968,224.35903811720607,159.8917287128176,2922.208324863958,11
48,61.0,150.0,150.03882701291968,223.98203596201185,159.69376527162066,2919.3029045201106,11
49,60.0,150.0,149.10404408716633,224.1415838111254,160.0405498994091,2921.582291132487,11
50,61.0,150.0,149.80743592661818,223.46794717543042,159.2198595549862,2924.699579921061,11
